Nome_Piatto,Calorie_kcal,Carboidrati_g,Zuccheri_g,Grassi_g,Grassi Saturi_g,Fibre_g,Colesterolo_mg,Sodio_mg
Crema al mascarpone,774.0,33.8,33.0,65.0,36.94,2.2,319.0,186.0
Risotto alla salsiccia,708.0,70.9,1.0,36.5,14.99,1.3,83.0,1067.0
Risotto alla zucca,541.0,69.8,4.6,21.8,10.7,1.7,49.0,856.0
Lingue di gatto,,,,,,,,
Crema di limoncello,156.0,21.0,21.0,2.2,1.3,0.1,7.0,8.0
Verdure gratinate al forno,145.0,12.8,7.1,7.8,2.25,4.7,7.0,406.0
Spezzatino di manzo,529.0,9.7,4.4,29.9,11.52,1.8,159.0,878.0
Carne alla pizzaiola,172.0,2.3,2.3,10.6,2.0,1.2,52.0,561.0
Scaloppine al limone,326.0,20.5,1.4,16.1,8.11,0.7,92.0,388.0
Torta di banane,,,,,,,,
Tiramisu senza uova,,,,,,,,
Polpette al forno,393.0,11.6,0.5,26.4,10.66,1.0,141.0,826.0
Risotto ai frutti di mare,308.0,40.2,3.5,5.3,1.12,1.2,152.0,596.0
Torta paradiso,541.0,63.6,40.5,28.8,15.54,1.9,308.0,269.0
Spatzle di spinaci con speck e panna,562.0,53.4,4.1,28.5,13.82,2.8,236.0,826.0
Salmone al forno,435.0,9.3,2.7,30.9,6.35,1.3,52.0,446.0
Spezzatino di vitello con patate,612.0,45.1,4.9,20.3,5.62,5.0,142.0,1270.0
Petti di pollo al latte,363.0,22.4,3.4,13.0,6.08,0.9,118.0,364.0
Hamburger di ceci,,,,,,,,
Salmone croccante,654.0,20.4,4.6,42.3,9.21,1.8,86.0,894.0
Ossibuchi alla milanese,852.0,14.7,5.3,31.7,10.29,1.8,145.0,853.0
Torta alla ricotta e cioccolato,428.0,58.9,35.1,17.2,9.79,1.0,111.0,55.0
Sformato di verdure,531.0,35.3,6.1,29.8,15.32,3.3,88.0,1143.0
Cheesecake alle fragole,,,,,,,,
Pasta alla sorrentina,536.0,70.3,6.2,18.7,7.77,3.7,29.0,652.0
Pasta frolla morbida,432.0,55.7,20.6,20.4,11.61,1.3,95.0,126.0
Palline di cocco,83.0,3.9,3.9,6.7,5.39,1.8,7.0,13.0
Peperonata,183.0,18.2,18.0,10.6,1.56,4.0,0.0,357.0
Donuts,,,,,,,,
Spaghetti al pomodoro,414.0,72.6,8.5,8.8,1.29,4.1,0.0,317.0
Dolcetti al cocco,60.0,5.6,5.6,3.9,3.33,1.3,0.0,9.0
Pastiera napoletana,,,,,,,,
Cheesecake al triplo cioccolato,589.0,29.1,19.4,48.1,28.07,0.5,131.0,323.0
Frittata di spaghetti,421.0,49.6,2.9,15.7,6.82,1.7,186.0,533.0
Trofie con crema di zucchine e pancetta,525.0,68.6,4.4,21.3,4.26,4.3,16.0,615.0
Parmigiana di zucchine,637.0,31.8,6.3,48.7,13.72,3.9,28.0,341.0
Linguine gamberetti zucchine e zafferano,488.0,69.7,5.6,15.5,4.45,3.2,69.0,361.0
Cosce di pollo al forno,340.0,19.8,2.2,19.7,3.73,2.5,94.0,392.0
Profiteroles al cioccolato,341.0,22.1,12.3,25.4,14.18,0.3,187.0,246.0
Danubio salato,333.0,42.3,5.4,12.0,3.89,1.4,68.0,568.0
Crostata di fragole fresche,575.0,81.2,51.8,23.6,12.15,2.0,320.0,41.0
Pasta al forno,710.0,69.9,9.4,32.3,14.54,3.1,201.0,1126.0
Spaghetti alla Nerano,830.0,69.7,5.5,50.6,13.15,4.6,34.0,665.0
Torta Pan di Stelle,611.0,62.4,48.4,36.7,15.5,3.3,53.0,173.0
Waffle,1105.0,128.9,64.3,55.4,30.32,2.8,500.0,452.0
Torta al cioccolato,545.0,52.7,34.8,32.6,18.23,2.7,216.0,268.0
Peperoni ripieni di carne e salsiccia,611.0,30.9,11.2,36.9,15.22,3.2,198.0,1286.0
Filetto al pepe verde,541.0,14.0,1.8,26.5,10.03,2.0,176.0,192.0
Torta salata di zucchine,472.0,34.0,2.3,26.8,9.54,2.2,185.0,706.0
Melanzane a funghetto,104.0,8.5,8.5,6.5,0.93,5.0,0.0,339.0
Orata al forno,434.0,5.3,5.3,23.6,3.77,1.5,158.0,766.0
Pesto di rucola,502.0,1.2,1.2,50.1,10.64,0.6,24.0,777.0
Porridge,252.0,31.4,5.7,11.1,2.15,4.9,6.0,334.0
Pollo al curry,686.0,84.9,4.9,12.4,4.35,3.7,129.0,710.0
Omelette (ricetta base),287.0,2.2,2.2,24.8,5.99,0.5,374.0,1331.0
Torta fredda allo yogurt,429.0,37.2,21.8,28.6,16.51,0.9,103.0,117.0
Torta foresta nera,505.0,53.8,45.2,29.0,16.53,1.0,141.0,59.0
Focaccia,646.0,96.5,8.3,22.4,3.81,4.5,3.0,1490.0
Saltimbocca alla Romana,299.0,10.0,0.5,18.2,7.81,0.4,91.0,621.0
Panini al latte,87.0,14.9,2.8,2.0,1.09,0.4,12.0,98.0
Gnocchi alla sorrentina,784.0,100.8,7.2,27.2,12.24,7.2,96.0,754.0
Pasta per il pane,434.0,91.9,2.2,1.0,0.21,3.2,0.0,771.0
Risotto con zucchine,520.0,72.9,2.7,17.7,9.77,2.7,47.0,854.0
Chili con carne,476.0,20.8,14.6,22.6,7.25,8.6,124.0,1438.0
Sushi,,,,,,,,
Plumcake allo yogurt,,,,,,,,
Gnocchi alla romana,606.0,51.2,11.1,34.7,20.02,1.4,205.0,907.0
Pollo alla cacciatora,518.0,6.6,6.6,32.7,8.65,2.7,210.0,687.0
Nutellotti,98.0,11.3,7.3,5.0,1.35,0.4,8.0,9.0
Crostata alla confettura di albicocche,,,,,,,,
Salame di cioccolato,,,,,,,,
Dorayaki,279.0,58.9,28.9,1.8,0.63,1.0,67.0,27.0
Patate al forno,261.0,38.6,2.0,9.9,1.55,3.8,0.0,311.0
Insalata di pasta Mediterranea,566.0,63.5,4.6,22.1,4.0,3.5,56.0,520.0
Pollo al limone,345.0,18.5,3.5,11.6,1.9,1.7,93.0,356.0
Riso Venere con gamberetti e zucchine,305.0,52.5,2.7,6.0,0.96,3.1,56.0,535.0
Spaghetti alla puttanesca,471.0,72.7,8.7,14.1,2.09,4.9,7.0,396.0
Insalata di pollo saporita,698.0,7.3,7.3,54.2,10.14,3.4,136.0,989.0
Cannoli siciliani,209.0,17.5,10.8,13.2,4.42,0.6,20.0,96.0
Ragu' alla bolognese,,,,,,,,
Focaccia morbida,,,,,,,,
Gnocchi di patate,,,,,,,,
Red Velvet Cake,1093.0,130.4,94.0,56.3,32.64,3.8,212.0,470.0
Pasta fresca all'uovo (sfoglia e formati),408.0,74.1,1.6,5.0,1.74,2.4,185.0,71.0
Cheesecake leggera,268.0,31.4,22.3,13.0,7.58,0.1,49.0,208.0
Pollo alle mandorle,,,,,,,,
Muffin al cioccolato,389.0,51.7,32.0,17.0,9.53,2.4,101.0,123.0
Macarons,78.0,9.8,9.8,3.8,1.37,0.5,3.0,10.0
Spaghetti allo scoglio,,,,,,,,
Torta 7 vasetti ,436.0,71.4,33.6,13.7,2.28,0.8,78.0,42.0
Melanzane ripiene,442.0,19.0,8.9,29.2,6.8,6.2,59.0,931.0
Calamarata,526.0,87.1,7.4,7.6,1.74,7.0,62.0,406.0
